date,open,high,low,close
2024-05-21T15:15:00+05:30,693.2,694.4,690.4,692.0
2024-05-22T09:15:00+05:30,698.55,698.7,686.2,689.35
2024-05-22T09:30:00+05:30,689.5,690.75,680.45,681.7
2024-05-22T09:45:00+05:30,681.95,682.45,677.4,682.0
2024-05-22T10:00:00+05:30,682.0,684.4,681.25,682.85
2024-05-22T10:15:00+05:30,682.85,684.0,681.0,683.2
2024-05-22T10:30:00+05:30,683.25,685.5,682.0,685.45
2024-05-22T10:45:00+05:30,685.5,686.5,683.5,683.6
2024-05-22T11:00:00+05:30,684.0,687.65,682.65,686.55
2024-05-22T11:15:00+05:30,686.55,687.3,684.8,687.0
2024-05-22T11:30:00+05:30,687.05,687.4,683.7,684.7
2024-05-22T11:45:00+05:30,684.75,685.45,682.6,683.1
2024-05-22T12:00:00+05:30,683.1,684.2,682.1,683.95
2024-05-22T12:15:00+05:30,683.95,684.15,681.6,683.65
2024-05-22T12:30:00+05:30,683.85,685.3,683.6,684.0
2024-05-22T12:45:00+05:30,684.0,686.15,683.6,684.5
2024-05-22T13:00:00+05:30,684.45,684.75,683.0,683.5
2024-05-22T13:15:00+05:30,683.45,684.5,681.85,682.5
2024-05-22T13:30:00+05:30,682.5,683.5,681.5,682.65
2024-05-22T13:45:00+05:30,682.6,682.85,680.4,681.05
2024-05-22T14:00:00+05:30,681.0,681.5,679.2,681.25
2024-05-22T14:15:00+05:30,681.25,684.45,680.95,683.6
2024-05-22T14:30:00+05:30,683.5,685.0,683.0,684.95
2024-05-22T14:45:00+05:30,684.95,685.7,682.3,683.15
2024-05-22T15:00:00+05:30,683.1,684.8,682.55,683.55
2024-05-22T15:15:00+05:30,683.6,686.1,683.1,685.5
2024-05-23T09:15:00+05:30,675.45,677.65,667.0,670.25
2024-05-23T09:30:00+05:30,670.25,676.5,668.1,675.9
2024-05-23T09:45:00+05:30,675.9,677.25,673.25,677.05
2024-05-23T10:00:00+05:30,677.1,677.3,675.15,676.0
2024-05-23T10:15:00+05:30,676.1,677.2,674.0,674.85
2024-05-23T10:30:00+05:30,674.85,674.9,669.5,670.5
2024-05-23T10:45:00+05:30,670.55,672.5,669.0,669.9
2024-05-23T11:00:00+05:30,669.9,671.3,669.15,669.75
2024-05-23T11:15:00+05:30,669.6,670.8,668.0,668.65
2024-05-23T11:30:00+05:30,668.65,672.45,668.5,670.5
2024-05-23T11:45:00+05:30,670.55,671.5,669.05,670.95
2024-05-23T12:00:00+05:30,670.95,671.65,670.05,670.35
2024-05-23T12:15:00+05:30,670.6,671.4,670.2,671.1
2024-05-23T12:30:00+05:30,671.1,671.5,670.55,671.1
2024-05-23T12:45:00+05:30,671.05,671.4,670.1,671.0
2024-05-23T13:00:00+05:30,670.95,671.4,669.35,670.9
2024-05-23T13:15:00+05:30,670.9,671.2,667.45,669.95
2024-05-23T13:30:00+05:30,669.9,670.4,666.65,667.6
2024-05-23T13:45:00+05:30,667.6,669.0,665.95,667.45
2024-05-23T14:00:00+05:30,667.65,667.95,666.5,667.8
2024-05-23T14:15:00+05:30,667.8,670.45,666.45,668.8
2024-05-23T14:30:00+05:30,669.0,673.85,667.95,673.45
2024-05-23T14:45:00+05:30,673.45,678.55,673.45,677.55
2024-05-23T15:00:00+05:30,677.25,678.3,675.5,677.95
2024-05-23T15:15:00+05:30,677.6,678.0,675.0,676.0
2024-05-24T09:15:00+05:30,679.2,688.4,678.05,685.05
2024-05-24T09:30:00+05:30,685.05,689.6,682.35,689.6
2024-05-24T09:45:00+05:30,689.6,690.45,686.1,689.1
2024-05-24T10:00:00+05:30,689.4,690.15,684.3,687.0
2024-05-24T10:15:00+05:30,687.0,688.25,684.35,684.6
2024-05-24T10:30:00+05:30,684.6,684.9,681.05,682.55
2024-05-24T10:45:00+05:30,682.5,683.3,679.3,681.15
2024-05-24T11:00:00+05:30,681.2,682.9,680.85,681.55
2024-05-24T11:15:00+05:30,681.7,682.0,679.5,680.1
2024-05-24T11:30:00+05:30,680.05,681.9,679.95,680.95
2024-05-24T11:45:00+05:30,680.85,683.4,680.0,681.25
2024-05-24T12:00:00+05:30,681.2,681.6,680.0,680.0
