date,open,high,low,close
2024-05-21T15:15:00+05:30,189.5,189.5,188.8,189.1
2024-05-22T09:15:00+05:30,189.95,190.0,187.0,188.0
2024-05-22T09:30:00+05:30,188.0,188.0,186.05,186.6
2024-05-22T09:45:00+05:30,186.6,187.05,186.05,186.65
2024-05-22T10:00:00+05:30,186.6,186.7,186.0,186.4
2024-05-22T10:15:00+05:30,186.3,186.55,185.8,186.2
2024-05-22T10:30:00+05:30,186.1,186.3,185.5,185.8
2024-05-22T10:45:00+05:30,185.8,185.85,185.35,185.5
2024-05-22T11:00:00+05:30,185.55,185.6,184.0,184.0
2024-05-22T11:15:00+05:30,184.05,184.35,183.5,183.9
2024-05-22T11:30:00+05:30,183.9,184.05,183.5,183.6
2024-05-22T11:45:00+05:30,183.65,185.25,183.55,185.0
2024-05-22T12:00:00+05:30,185.0,185.1,184.65,184.75
2024-05-22T12:15:00+05:30,184.85,184.95,183.35,183.85
2024-05-22T12:30:00+05:30,183.85,184.0,183.7,183.85
2024-05-22T12:45:00+05:30,183.85,185.15,183.8,184.15
2024-05-22T13:00:00+05:30,184.15,184.35,184.0,184.05
2024-05-22T13:15:00+05:30,184.05,184.5,184.0,184.45
2024-05-22T13:30:00+05:30,184.45,185.35,184.4,185.35
2024-05-22T13:45:00+05:30,185.3,186.2,185.25,185.4
2024-05-22T14:00:00+05:30,185.4,185.45,185.2,185.3
2024-05-22T14:15:00+05:30,185.35,185.9,185.05,185.3
2024-05-22T14:30:00+05:30,185.3,185.75,185.0,185.6
2024-05-22T14:45:00+05:30,185.6,185.95,185.5,185.65
2024-05-22T15:00:00+05:30,185.6,186.0,185.5,185.5
2024-05-22T15:15:00+05:30,185.55,185.8,185.0,185.6
2024-05-23T09:15:00+05:30,186.4,189.4,186.05,188.5
2024-05-23T09:30:00+05:30,188.5,189.1,188.05,188.9
2024-05-23T09:45:00+05:30,188.9,189.0,187.35,187.45
2024-05-23T10:00:00+05:30,187.45,187.6,186.35,186.75
2024-05-23T10:15:00+05:30,186.75,187.6,186.6,187.3
2024-05-23T10:30:00+05:30,187.3,187.5,186.65,187.2
2024-05-23T10:45:00+05:30,187.15,187.3,186.8,186.9
2024-05-23T11:00:00+05:30,186.85,187.0,186.55,186.65
2024-05-23T11:15:00+05:30,186.6,186.9,186.3,186.6
2024-05-23T11:30:00+05:30,186.65,186.75,186.35,186.55
2024-05-23T11:45:00+05:30,186.55,186.95,186.4,186.85
2024-05-23T12:00:00+05:30,186.85,187.0,186.55,186.65
2024-05-23T12:15:00+05:30,186.7,186.85,186.6,186.8
2024-05-23T12:30:00+05:30,186.75,186.85,186.55,186.65
2024-05-23T12:45:00+05:30,186.6,187.2,186.55,187.1
2024-05-23T13:00:00+05:30,187.0,187.45,186.9,187.4
2024-05-23T13:15:00+05:30,187.4,187.5,187.05,187.2
2024-05-23T13:30:00+05:30,187.15,187.25,187.0,187.1
2024-05-23T13:45:00+05:30,187.15,187.3,187.0,187.05
2024-05-23T14:00:00+05:30,187.05,187.25,187.05,187.1
2024-05-23T14:15:00+05:30,187.15,187.25,186.8,187.0
2024-05-23T14:30:00+05:30,187.0,187.25,184.5,185.95
2024-05-23T14:45:00+05:30,186.0,186.75,185.5,186.7
2024-05-23T15:00:00+05:30,186.65,187.0,186.5,186.5
2024-05-23T15:15:00+05:30,186.55,187.55,186.5,187.3
2024-05-24T09:15:00+05:30,188.0,188.0,185.75,187.45
2024-05-24T09:30:00+05:30,187.4,187.45,186.0,186.6
2024-05-24T09:45:00+05:30,186.6,187.0,186.05,186.45
2024-05-24T10:00:00+05:30,186.35,186.8,185.65,185.9
2024-05-24T10:15:00+05:30,185.9,186.1,185.2,185.35
2024-05-24T10:30:00+05:30,185.35,185.6,185.25,185.4
2024-05-24T10:45:00+05:30,185.4,185.7,185.25,185.5
2024-05-24T11:00:00+05:30,185.5,185.6,185.1,185.2
2024-05-24T11:15:00+05:30,185.2,185.4,185.1,185.4
2024-05-24T11:30:00+05:30,185.4,185.9,185.3,185.4
2024-05-24T11:45:00+05:30,185.45,185.6,185.1,185.2
2024-05-24T12:00:00+05:30,185.2,185.25,185.0,185.05
2024-05-24T12:15:00+05:30,185.0,185.2,185.0,185.05
2024-05-24T12:30:00+05:30,185.1,185.2,184.8,184.8
2024-05-24T12:45:00+05:30,184.85,185.0,183.8,183.95
2024-05-24T13:00:00+05:30,183.95,184.15,183.8,183.85
2024-05-24T13:15:00+05:30,183.85,184.2,183.6,183.85
2024-05-24T13:30:00+05:30,183.85,184.6,183.8,184.0
2024-05-24T13:45:00+05:30,184.05,184.25,183.6,183.65
2024-05-24T14:00:00+05:30,183.75,183.8,183.5,183.65
2024-05-24T14:15:00+05:30,183.65,183.85,182.6,182.6
2024-05-24T14:30:00+05:30,182.65,183.35,179.1,183.1
2024-05-24T14:45:00+05:30,183.1,183.65,182.2,183.55
2024-05-24T15:00:00+05:30,183.55,183.7,182.5,183.25
2024-05-24T15:15:00+05:30,183.25,183.5,182.35,182.5
2024-05-27T09:15:00+05:30,183.9,184.9,180.6,180.7
2024-05-27T09:30:00+05:30,180.6,183.1,178.4,182.45
2024-05-27T09:45:00+05:30,182.45,182.5,180.3,182.15
2024-05-27T10:00:00+05:30,182.15,182.2,180.75,180.95
2024-05-27T10:15:00+05:30,180.95,180.95,179.45,180.1
2024-05-27T10:30:00+05:30,180.1,181.05,180.05,180.65
2024-05-27T10:45:00+05:30,180.65,180.95,179.8,180.05
2024-05-27T11:00:00+05:30,180.0,180.2,179.6,180.0
2024-05-27T11:15:00+05:30,180.0,180.6,179.9,180.6
2024-05-27T11:30:00+05:30,180.6,181.85,180.25,181.6
2024-05-27T11:45:00+05:30,181.5,182.85,181.15,182.2
2024-05-27T12:00:00+05:30,182.2,184.2,182.15,183.05
2024-05-27T12:15:00+05:30,183.1,183.95,182.8,183.3
2024-05-27T12:30:00+05:30,183.35,183.45,182.5,182.65
2024-05-27T12:45:00+05:30,182.6,182.75,182.15,182.6
2024-05-27T13:00:00+05:30,182.65,182.65,182.1,182.1
2024-05-27T13:15:00+05:30,182.2,183.75,182.05,183.65
2024-05-27T13:30:00+05:30,183.6,183.9,183.3,183.75
2024-05-27T13:45:00+05:30,183.75,184.7,183.5,184.55
2024-05-27T14:00:00+05:30,184.55,185.45,184.2,184.95
2024-05-27T14:15:00+05:30,184.95,185.25,184.3,184.65
2024-05-27T14:30:00+05:30,184.6,185.1,184.0,184.15
2024-05-27T14:45:00+05:30,184.1,184.7,183.35,184.05
2024-05-27T15:00:00+05:30,184.05,184.3,183.8,184.0
2024-05-27T15:15:00+05:30,184.05,184.45,181.15,184.1
2024-05-28T09:15:00+05:30,184.2,184.8,183.1,183.95
2024-05-28T09:30:00+05:30,183.85,184.0,183.15,183.3
2024-05-28T09:45:00+05:30,183.25,183.3,182.8,182.85
